Product Number,Product Name (optional),Customer,01-01-17,,03-01-17,03-06-17,05-01-17,06-01-17,07-01-17
FAY10400,EPO Evening Primrose Oil 1000mg V Caps 300s,Customer number 12,568,792,657,518,900,532,847
FAY10600,EPO Evening Primrose Oil 1000mg V Capsules 500s,Customer number 12,55,48,21,22,27,40,35
,,,,,,,,,
FAN10300,Colostrum Tabs S/Berry 42mg Ca 150s KR,Customer number 12,1053,880,553,1014,729,756,783
,Colostrum Chews S/Berry 70s (Middle East),Customer number 12,,420,,2114,509,,
FBB10600,Health 2000 Flaxomega Twin Pack,Customer number 13,630,1116,572,487,475,641,1151
AMM,Aloe Max Daily Hydrating Moisturiser 150gm,Customer number 12,1382,1216,gh,1260,1304,1386,818
AVCC/HK,Aloe Vera Cleansing Lotion 150ml (Hong Kong),,3807,-1401,2753,2382,2097,2996,1464
,,,,,,,,,
AVT/HK,Aloe Vera Skin Toner 150ml (Hong Kong),Customer number 12,306,314,670,528,407,420,362
,,,,,,,,,
sdf,Mens Multi-Plus 30s,Customer number 12,3854,8970,8018,5935,8226,13321,11324
AMG,Aloe Max Relief Gel 150gm,dfg,3168,1960,2491,1683,2763,2786,1612
,,,,,,,,,
AVEG,Aloe Vera Eye Gel 25gm,Customer number 12,1141,740,936,835,1404,755,1294
FAJ10200,Liver Zone 90s,Customer number 12,1062,1281,945,1149,1368,1152,1066
