Product Number,Product Name,Product Category,Selling Price,Unit of Measure,Conversion Factor,
FHY10200,100% NZ Pure Colostrum 1.5g x 30 (China),Colostrum,6.56,Unit,8.4,
FHY10300,100% NZ Pure Colostrum Powder 100g (China),Colostrum,15.24,Unit,12.5,
FEV10100,100% Pure Colostrum Powder 100g,Colostrum,11.54,Unit,12.7,
FEV10400,100% Pure Colostrum Powder 100g (Vietnam),Colostrum,14,Unit,11.3,
FGM10100,100% Pure Colostrum Powder KR,Colostrum,13,Unit,11.6,
FAA10100,Abalone Extract 200mg Capsules 100s,Miscellaneous,,Unit,12.7,
FAE10100,Activator FX Capsules 60s,Miscellaneous,21.09,Unit,11,
FGU10100,Active Colostrum & Skim Powder 350g (Korea),Colostrum,,Unit,8.3,
FAG10100,Allergy Check Herbal Relief Capsules 60s,Miscellaneous,12.84,Unit,11.2,
FAY10800,EPO 1000mg Vegi-Capsules 70s (Korea),%^%**^%$^%^ fgff,,Unit,8.6,
FAY10400,EPO Evening Primrose Oil 1000mg V Caps 300s,%^%**^%$^%^ fgff,18.98,Unit,7.7,
FAY10600,EPO Evening Primrose Oil 1000mg V Capsules 500s,%^%**^%$^%^ fgff,,Unit,10,
FAY10700,EPO Evening Primrose Oil 1000mg V Capsules 70s,%^%**^%$^%^ fgff,7.27,Unit,9.4,
FAY11300,EPO Vegi Caps 300s (Taiwan),%^%**^%$^%^ fgff,21,Unit,7.9,
FAY11400,EPO Vegi-Caps 70s (Taiwan),%^%**^%$^%^ fgff,7.4,Unit,10.2,
FKH10100,Fish Oil 1500mg Caps 200s,%^%**^%$^%^ fgff,15.5,Unit,10.6,
FKH10200,Fish Oil 1500mg Caps 400s,%^%**^%$^%^ fgff,28,Unit,8,
FBB10100,Flaxomega 1000mg Capsules 150s,%^%**^%$^%^ fgff,6.86,Unit,10.2,
AMG,Aloe Max Relief Gel 150gm,Skin & Beauty,4.3,Unit,11.3,
AMM,Aloe Max Daily Hydrating Moisturiser 150gm,Miscellaneous,,Unit,,
AVCC,Aloe Vera Cleansing Lotion 150ml,Skin & Beauty,,Unit,12.5,
AVCC/HK,Aloe Vera Cleansing Lotion 150ml (Hong Kong),Miscellaneous,5.5,Unit,12.9,
AVEG,Aloe Vera Eye Gel 25gm,Skin & Beauty,,Unit,7.2,
AVJ,ALOE VERA JUICE 1LTR B:,Miscellaneous,,Unit,9.7,
AVMC,Aloe Vera Medi Cream 100gm,Skin & Beauty,4.94,Unit,7.5,
AVMC/HK,Aloe Vera Medi Cream 100gm (Hong Kong),Skin & Beauty,,Unit,10,
AVMD,Aloe Vera Moisture N-D 100gm,Skin & Beauty,,Unit,7,
AVMD/HK,Aloe Vera Moisture N-D 100gm (Hong Kong),Skin & Beauty,,Unit,12.4,
AVMM,Aloe & Clay Mud Face Mask 100g,Skin & Beauty,,Unit,8.6,
AVMN,Aloe Vera Moisturiser N-O 100gm,Skin & Beauty,,Unit,12.7,
FDY15700,Viralex Chews 60s 6 Pack (DFS),Miscellaneous,,Unit,7.5,
FDY16100,Squalene 6 Pack,Miscellaneous,,Unit,11.1,
FDY16200,Colostrum Chewables Vanilla 6 Pack (DFS),Colostrum,,Unit,10.9,
FDY16900,Health Guard Omega 3 6 Pack (DFS),%^%**^%$^%^ fgff,,Unit,9.4,
FDY17100,Omega Bursts 60s 6 Pack (DFS),%^%**^%$^%^ fgff,,Unit,13,
FDZ10100,Colon Health Capsules 30s,Miscellaneous,6.12,Unit,11.4,
FEB10100,Flaxomega Oil Organic 250ml,Miscellaneous,8.55,Unit,9,
FEB10200,Flaxomega Oil Organic 500ml,Flaxseed,13.59,Unit,8.4,
FEB10300,Flaxomega Oil Organic 250ml (Taiwan),Flaxseed,,Unit,11.7,
FCK10300,Opti CoQ10 75mg Caps 60s,Miscellaneous,12.49,Unit,7.4,
FJD10100,Oyster Abalone Plus Capsules 60s (China),Miscellaneous,7.25,Unit,7.3,
OYZ60/CN,Oyster Capsules 60s (China),Miscellaneous,,Unit,11.4,
FEU10300,Oyster Plus Caps 30s,Miscellaneous,6.1,Unit,11.6,
FEU10100,Oyster Plus Capsules 60s,Miscellaneous,10.05,Unit,11.3,
FCC10200,Painex 120s NZ only (For Ultimate Joint Pack),Miscellaneous,,Unit,10.5,
FCC10100,Painex Capsules 60s NZ only,Miscellaneous,10.31,Unit,12.1,
PG-RJC,PG - Abeeco Royal Jelly Cream 100gm,Miscellaneous,,Unit,11.8,
PG-RJC200,PG - Abeeco Royal Jelly Cream 200gm,Miscellaneous,,Unit,10.1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
