Product Number,Product Name (optional),Customer,01-08-17,01-09-17,01-10-17,01-11-17,01-12-17,01-01-18,01-02-18,01-03-18,01-04-18,01-05-18,01-06-18,01-07-18,01-08-18,01-09-18,01-10-18,01-11-18,01-12-18,01-01-19,01-02-19,01-03-19,01-04-19,01-05-19,01-06-19,01-07-19,01-08-19,01-09-19,01-10-19,01-11-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBB10600,Health 2000 Flaxomega Twin Pack,Customer number 13,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAY10400,EPO Evening Primrose Oil 1000mg V Caps 300s,Tourism,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
FAY10600,EPO Evening Primrose Oil 1000mg V Capsules 500s,Tourism,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAN10300,Colostrum Tabs S/Berry 42mg Ca 150s KR,Tourism,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420
FAN10500,Colostrum Chews S/Berry 70s (Middle East),Tourism,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820
FBB10600,Health 2000 Flaxomega Twin Pack,Tourism,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480
AMM,Aloe Max Daily Hydrating Moisturiser 150gm,Tourism,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910
AVCC/HK,Aloe Vera Cleansing Lotion 150ml (Hong Kong),Tourism,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070,2070
AVJ,ALOE VERA JUICE 1LTR B:,Tourism,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520
AVT/HK,Aloe Vera Skin Toner 150ml (Hong Kong),Tourism,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBZ10100,Mens Multi-Plus 30s,Tourism,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530,7530
